id,timestamp,voteUrl,bill,billDescription,billUrl,amendment,amendmentUrl,question,vote,result
[H]-9,2024-12-03T16:46:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25052, ,Bubba Cromer - Reading Clerk,https://www.scstatehouse.gov/billsearch.php?billnumbers=undefined&session=126&headerfooter=0,,,,N/V,Passed
[H]-15,2025-01-16T10:25:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25071,H.3727,Code Volume Replacement,https://www.scstatehouse.gov/billsearch.php?billnumbers=3727&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-19,2025-01-29T14:57:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25084,H.3792,Clarendon County School District,https://www.scstatehouse.gov/billsearch.php?billnumbers=3792&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-20,2025-01-29T15:37:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25085,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,1,https://scstatehouse.gov/amendments.php?KEY=33145,Table Amendment 1 Amendment #1,Nay,Passed
[H]-21,2025-01-29T15:41:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25086,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,,,Table Motion to Adjourn Debate,Nay,Passed
[H]-22,2025-01-29T15:44:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25087,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,,,Adjourn For The Day,Yea,Failed
[H]-23,2025-01-29T15:48:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25089,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,,,Recede,Yea,Failed
[H]-24,2025-01-29T16:05:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25090,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,2,https://scstatehouse.gov/amendments.php?KEY=33146,Table Amendment 2 Amendment #2,Nay,Passed
[H]-25,2025-01-29T16:09:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25091,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,,,Table Motion to Recommit,Nay,Passed
[H]-26,2025-01-29T16:20:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25092,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,,,Adjourn For The Day,Yea,Failed
[H]-27,2025-01-29T16:43:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25093,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,6,https://scstatehouse.gov/amendments.php?KEY=33154,Table Amendment 6 Amendment #6,Nay,Passed
[H]-28,2025-01-29T16:46:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25094,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,,,Table Motion to resolve into the Committee of the Whole,Nay,Passed
[H]-29,2025-01-29T17:17:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25095,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,8,https://scstatehouse.gov/amendments.php?KEY=33162,Table Amendment 8 Amendment #8,Nay,Passed
[H]-30,2025-01-29T17:38:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25096,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,12,https://scstatehouse.gov/amendments.php?KEY=33169,Table Amendment 12 Amendment #12,Nay,Passed
[H]-31,2025-01-29T20:28:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25097,H.3815,House Rules revisions,https://www.scstatehouse.gov/billsearch.php?billnumbers=3815&session=126&headerfooter=0,,,Adopt House Resolution,Nay,Passed
[H]-34,2025-02-04T12:42:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25116,H.3438,Catawba Indian Expansion,https://www.scstatehouse.gov/billsearch.php?billnumbers=3438&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[J]-4,2025-02-05T11:44:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25133, ,To elect Melissa Inzerillo,https://www.scstatehouse.gov/billsearch.php?billnumbers=undefined&session=126&headerfooter=0,,,,Nay,Failed
[H]-54,2025-02-12T10:54:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25181, ,J. Camden West - Berkeley Co. Master-in-Equity,https://www.scstatehouse.gov/billsearch.php?billnumbers=undefined&session=126&headerfooter=0,,,,Yea,Passed
[H]-55,2025-02-12T11:07:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25182,H.3570,Disclosure of Economic Interests,https://www.scstatehouse.gov/billsearch.php?billnumbers=3570&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-56,2025-02-12T11:11:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25183,H.3529,"Family Court Judges, additional",https://www.scstatehouse.gov/billsearch.php?billnumbers=3529&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-57,2025-02-12T11:14:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25184,H.3020,Status Offenses,https://www.scstatehouse.gov/billsearch.php?billnumbers=3020&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-58,2025-02-12T11:19:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25185,H.3432,Grantor Trust Reimbursement,https://www.scstatehouse.gov/billsearch.php?billnumbers=3432&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-59,2025-02-12T11:41:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25186,H.3502,Department of Social Services,https://www.scstatehouse.gov/billsearch.php?billnumbers=3502&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
[H]-60,2025-02-12T13:41:00.000-05:00,https://www.scstatehouse.gov/votehistory.php?KEY=25187,H.3309,Electrical Utilities,https://www.scstatehouse.gov/billsearch.php?billnumbers=3309&session=126&headerfooter=0,,,Passage of Bill,Yea,Passed
