code,district,name,party,bioUrl,photoUrl
0013636362,1,Senator Thomas C. Alexander,R,https://www.scstatehouse.gov/member.php?code=0013636362,https://www.scstatehouse.gov/images/members/0013636362.jpg
1547727087,2,Senator Rex F. Rice,R,https://www.scstatehouse.gov/member.php?code=1547727087,https://www.scstatehouse.gov/images/members/1547727087.jpg
0328409052,3,Senator Richard J. Cash,R,https://www.scstatehouse.gov/member.php?code=0328409052,https://www.scstatehouse.gov/images/members/0328409052.jpg
0635227197,4,Senator Michael W. Gambrell,R,https://www.scstatehouse.gov/member.php?code=0635227197,https://www.scstatehouse.gov/images/members/0635227197.jpg
0402272679,5,"Senator Thomas D. ""Tom"" Corbin",R,https://www.scstatehouse.gov/member.php?code=0402272679,https://www.scstatehouse.gov/images/members/0402272679.jpg
0529545391,6,Senator Jason Elliott,R,https://www.scstatehouse.gov/member.php?code=0529545391,https://www.scstatehouse.gov/images/members/0529545391.jpg
0015340908,7,Senator Karl B. Allen,D,https://www.scstatehouse.gov/member.php?code=0015340908,https://www.scstatehouse.gov/images/members/0015340908.jpg
1847727051,8,Senator Ross Turner,R,https://www.scstatehouse.gov/member.php?code=1847727051,https://www.scstatehouse.gov/images/members/1847727051.jpg
1874999775,9,"Senator Daniel B. ""Danny"" Verdin III",R,https://www.scstatehouse.gov/member.php?code=1874999775,https://www.scstatehouse.gov/images/members/1874999775.jpg
0638636287,10,Senator Billy Garrett,R,https://www.scstatehouse.gov/member.php?code=0638636287,https://www.scstatehouse.gov/images/members/0638636287.jpg
0993465790,11,Senator Josh Kimbrell,R,https://www.scstatehouse.gov/member.php?code=0993465790,https://www.scstatehouse.gov/images/members/0993465790.jpg
0193181795,12,Senator Lee Bright,R,https://www.scstatehouse.gov/member.php?code=0193181795,https://www.scstatehouse.gov/images/members/0193181795.jpg
1179545313,13,Senator Shane R. Martin,R,https://www.scstatehouse.gov/member.php?code=1179545313,https://www.scstatehouse.gov/images/members/1179545313.jpg
1454545280,14,"Senator Harvey S. Peeler, Jr.",R,https://www.scstatehouse.gov/member.php?code=1454545280,https://www.scstatehouse.gov/images/members/1454545280.jpg
0356818139,15,Senator Wes Climer,R,https://www.scstatehouse.gov/member.php?code=0356818139,https://www.scstatehouse.gov/images/members/0356818139.jpg
0949431704,16,Senator Michael Johnson,R,https://www.scstatehouse.gov/member.php?code=0949431704,https://www.scstatehouse.gov/images/members/0949431704.jpg
1780681605,17,Senator Everett Stubbs,R,https://www.scstatehouse.gov/member.php?code=1780681605,https://www.scstatehouse.gov/images/members/1780681605.jpg
0438636311,18,Senator Ronnie W. Cromer,R,https://www.scstatehouse.gov/member.php?code=0438636311,https://www.scstatehouse.gov/images/members/0438636311.jpg
0477840852,19,Senator Tameika Isaac Devine,D,https://www.scstatehouse.gov/member.php?code=0477840852,https://www.scstatehouse.gov/images/members/0477840852.jpg
1782954332,20,Senator Ed Sutton,D,https://www.scstatehouse.gov/member.php?code=1782954332,https://www.scstatehouse.gov/images/members/1782954332.jpg
0920454435,21,Senator Darrell Jackson,D,https://www.scstatehouse.gov/member.php?code=0920454435,https://www.scstatehouse.gov/images/members/0920454435.jpg
1889772501,22,Senator Overture Walker,D,https://www.scstatehouse.gov/member.php?code=1889772501,https://www.scstatehouse.gov/images/members/1889772501.jpg
0984090791,23,Senator Carlisle Kennedy,R,https://www.scstatehouse.gov/member.php?code=0984090791,https://www.scstatehouse.gov/images/members/0984090791.jpg
1996590730,24,"Senator Tom Young, Jr.",R,https://www.scstatehouse.gov/member.php?code=1996590730,https://www.scstatehouse.gov/images/members/1996590730.jpg
1185227131,25,Senator A. Shane Massey,R,https://www.scstatehouse.gov/member.php?code=1185227131,https://www.scstatehouse.gov/images/members/1185227131.jpg
1433096420,26,Senator Russell L. Ott,D,https://www.scstatehouse.gov/member.php?code=1433096420,https://www.scstatehouse.gov/images/members/1433096420.jpg
0143749983,27,Senator Allen Blackmon,R,https://www.scstatehouse.gov/member.php?code=0143749983,https://www.scstatehouse.gov/images/members/0143749983.jpg
0819318084,28,Senator Greg Hembree,R,https://www.scstatehouse.gov/member.php?code=0819318084,https://www.scstatehouse.gov/images/members/0819318084.jpg
0346590868,29,Senator JD Chaplin,R,https://www.scstatehouse.gov/member.php?code=0346590868,https://www.scstatehouse.gov/images/members/0346590868.jpg
1938636131,30,Senator Kent M. Williams,D,https://www.scstatehouse.gov/member.php?code=1938636131,https://www.scstatehouse.gov/images/members/1938636131.jpg
1528408908,31,Senator Mike Reichenbach,R,https://www.scstatehouse.gov/member.php?code=1528408908,https://www.scstatehouse.gov/images/members/1528408908.jpg
1617045261,32,Senator Ronnie A. Sabb,D,https://www.scstatehouse.gov/member.php?code=1617045261,https://www.scstatehouse.gov/images/members/1617045261.jpg
1511363455,33,Senator Luke A. Rankin,R,https://www.scstatehouse.gov/member.php?code=1511363455,https://www.scstatehouse.gov/images/members/1511363455.jpg
0682386282,34,Senator Stephen L. Goldfinch,R,https://www.scstatehouse.gov/member.php?code=0682386282,https://www.scstatehouse.gov/images/members/0682386282.jpg
0703124916,35,Senator Jeffrey R. Graham,D,https://www.scstatehouse.gov/member.php?code=0703124916,https://www.scstatehouse.gov/images/members/0703124916.jpg
1999431789,36,Senator Jeff Zell,R,https://www.scstatehouse.gov/member.php?code=1999431789,https://www.scstatehouse.gov/images/members/1999431789.jpg
0729545367,37,"Senator Lawrence K. ""Larry"" Grooms",R,https://www.scstatehouse.gov/member.php?code=0729545367,https://www.scstatehouse.gov/images/members/0729545367.jpg
0141193165,38,Senator Sean M. Bennett,R,https://www.scstatehouse.gov/member.php?code=0141193165,https://www.scstatehouse.gov/images/members/0141193165.jpg
0574999931,39,Senator Tom Fernandez,R,https://www.scstatehouse.gov/member.php?code=0574999931,https://www.scstatehouse.gov/images/members/0574999931.jpg
0912499891,40,Senator Brad Hutto,D,https://www.scstatehouse.gov/member.php?code=0912499891,https://www.scstatehouse.gov/images/members/0912499891.jpg
1074431690,41,"Senator Matthew W. ""Matt"" Leber",R,https://www.scstatehouse.gov/member.php?code=1074431690,https://www.scstatehouse.gov/images/members/1074431690.jpg
1811931601,42,Senator Deon T. Tedder,D,https://www.scstatehouse.gov/member.php?code=1811931601,https://www.scstatehouse.gov/images/members/1811931601.jpg
0302272691,43,"Senator George E. ""Chip"" Campsen III",R,https://www.scstatehouse.gov/member.php?code=0302272691,https://www.scstatehouse.gov/images/members/0302272691.jpg
0002272727,44,Senator Brian Adams,R,https://www.scstatehouse.gov/member.php?code=0002272727,https://www.scstatehouse.gov/images/members/0002272727.jpg
0194318159,45,Senator Margie Bright Matthews,D,https://www.scstatehouse.gov/member.php?code=0194318159,https://www.scstatehouse.gov/images/members/0194318159.jpg
0456818127,46,Senator Tom Davis,R,https://www.scstatehouse.gov/member.php?code=0456818127,https://www.scstatehouse.gov/images/members/0456818127.jpg
